Vernier Format 2
Nuovo file.cmbl 01/12/2021 17:06:58 .
Ultimo
Tempo	Tensione 1	Tensione 2	Tensione 3	Tensione 4	R1	R2	R3	Temperature
t	Tens 1	Tens 2	Tens 3	Tens 4	R1	R2	R3	T
s	V	V	V	V	Ω	Ω	Ω	K

3110	0.509158	0.013431	0.757021	1.2149	50.9158	1.3431	0.757021	121.49
3120	0.505495	0.014652	0.752137	1.21001	50.5495	1.4652	0.752137	121.001
3130	0.503053	0.013431	0.747253	1.20513	50.3053	1.3431	0.747253	120.513
3140	0.499389	0.013431	0.74359	1.20147	49.9389	1.3431	0.74359	120.147
3150	0.496947	0.013431	0.738706	1.19658	49.6947	1.3431	0.738706	119.658
3160	0.493284	0.013431	0.733822	1.19292	49.3284	1.3431	0.733822	119.292
3170	0.490842	0.013431	0.730159	1.18926	49.0842	1.3431	0.730159	118.926
3180	0.489621	0.01221	0.726496	1.18559	48.9621	1.221	0.726496	118.559
3190	0.487179	0.01221	0.721612	1.18071	48.7179	1.221	0.721612	118.071
3200	0.483516	0.013431	0.717949	1.17705	48.3516	1.3431	0.717949	117.705
