integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

7.660716553e+02,3.606049344e-03
7.663047485e+02,4.857694265e-03
7.665378418e+02,-1.626441488e-03
7.667709961e+02,7.261840627e-03
7.670041504e+02,-9.362786077e-04
7.672373047e+02,-2.993070986e-03
7.674704590e+02,-4.130420741e-03
7.677036133e+02,2.175676404e-03
7.679367676e+02,8.034255356e-03
7.681699829e+02,-5.137023400e-04
7.684031372e+02,-1.707349438e-03
7.686363525e+02,-1.232175250e-02
7.688695679e+02,7.886031643e-03
7.691027832e+02,-9.190007113e-03
7.693360596e+02,-4.148862325e-03
7.695692749e+02,1.835362127e-05
7.698025513e+02,2.993598813e-03
7.700357666e+02,2.595022321e-03
7.702690430e+02,-5.770477466e-03
7.705023193e+02,-3.345340490e-03
7.707355957e+02,5.282051279e-05
7.709689331e+02,4.510524683e-03
7.712022095e+02,1.174932113e-03
7.714355469e+02,2.910492942e-03
7.716688843e+02,1.246771310e-03
7.719022217e+02,8.621577173e-03
7.721355591e+02,-1.484151348e-03
7.723688965e+02,2.573946724e-03
7.726022339e+02,9.770956822e-03
7.728356323e+02,6.711238530e-03
7.730690308e+02,1.062924042e-02
7.733023682e+02,1.453809673e-03
7.735357666e+02,4.294562619e-03
7.737692261e+02,4.916449543e-03
7.740026245e+02,-9.269433795e-04
7.742360229e+02,6.185325328e-03
7.744694824e+02,3.699562280e-03
7.747029419e+02,-5.209364463e-04
7.749364014e+02,3.401659429e-03
7.751698608e+02,3.999653272e-03
7.754033203e+02,3.155048180e-04
7.756367798e+02,7.005782798e-03
7.758703003e+02,-5.180297885e-03
7.761037598e+02,1.109089702e-02
7.763372803e+02,1.011168212e-02
7.765708008e+02,-4.447425250e-03
7.768043213e+02,1.724460628e-03
7.770378418e+02,3.707031021e-03
7.772714233e+02,-1.440456486e-03
7.775049438e+02,1.429218828e-04
7.777385254e+02,2.972629620e-03
7.779721069e+02,-1.814212999e-03
7.782056885e+02,-3.686741460e-03
7.784392700e+02,2.388887340e-03
7.786728516e+02,-1.731873141e-03
7.789064941e+02,1.236571837e-02
7.791401367e+02,1.113796839e-03
7.793737183e+02,6.891317666e-03
7.796073608e+02,-4.117447417e-03
7.798410034e+02,-7.050067652e-03
7.800747070e+02,9.996629320e-03
7.803083496e+02,7.773219608e-03
7.805419922e+02,4.861133173e-03
7.807756958e+02,-6.900542649e-04
7.810093994e+02,6.903367583e-03
7.812431030e+02,3.556875512e-03
7.814768066e+02,4.017520696e-03
7.817105103e+02,3.060199553e-03
7.819442749e+02,1.274226606e-02
7.821779785e+02,1.437233761e-02
7.824117432e+02,4.385068081e-03
7.826455078e+02,-1.047563739e-02
7.828792725e+02,1.428371063e-03
7.831130371e+02,-6.323702983e-04
7.833468018e+02,1.807864755e-03
7.835806274e+02,1.138005638e-03
7.838143921e+02,5.617555697e-03
7.840482178e+02,-3.343933262e-03
7.842820435e+02,5.012888927e-03
7.845158691e+02,1.930972910e-03
7.847496948e+02,4.994045477e-03
7.849835815e+02,1.136215217e-02
7.852174072e+02,3.674756270e-03
7.854512939e+02,7.557899691e-03
7.856851807e+02,-6.586089730e-04
7.859190674e+02,5.998752546e-03
7.861529541e+02,-2.412049333e-03
7.863868408e+02,1.037258003e-02
7.866207886e+02,7.079388946e-03
7.868546753e+02,-2.047627233e-03
7.870886230e+02,-4.544101248e-04
7.873225708e+02,7.871661335e-03
7.875565186e+02,-9.294211864e-03
7.877904663e+02,6.666558795e-03
7.880244141e+02,6.468079053e-03
7.882584229e+02,-5.321996287e-03
7.884923706e+02,3.313230118e-03
7.887263794e+02,-3.165019443e-03
7.889603882e+02,4.206462298e-03
7.891943970e+02,-3.264235798e-03
7.894284058e+02,2.514763549e-02
7.896624756e+02,-2.201718278e-03
7.898964844e+02,5.604701117e-03
7.901305542e+02,-1.038277149e-02
7.903646240e+02,7.527539041e-03
7.905986938e+02,6.464884616e-03
7.908327637e+02,1.955334097e-03
7.910668335e+02,-9.558835300e-04
7.913009644e+02,6.460198783e-04
7.915350342e+02,6.281903014e-03
7.917691650e+02,5.635124166e-03
7.920032959e+02,-5.061211530e-03
7.922374268e+02,-3.706157731e-04
7.924715576e+02,1.247508684e-03
7.927056885e+02,-4.957799101e-04
7.929398804e+02,2.515727188e-03
7.931740112e+02,6.906152237e-03
7.934082031e+02,3.697209526e-03
7.936423950e+02,-5.341721233e-03
7.938765869e+02,2.193685854e-03
7.941107788e+02,8.564404212e-03
7.943450317e+02,6.993164308e-03
7.945792236e+02,7.549955044e-03
7.948134766e+02,5.012862384e-03
7.950477295e+02,-1.225376036e-03
7.952819824e+02,2.666128799e-03
7.955162354e+02,3.309733234e-03
7.957504883e+02,3.455900587e-03
7.959847412e+02,7.326816209e-03
7.962190552e+02,-6.943599437e-04
7.964533691e+02,5.376418587e-03
7.966876221e+02,-3.553097136e-03
7.969219360e+02,-2.157401177e-04
7.971563110e+02,4.359885119e-03
7.973906250e+02,-2.288456773e-03
7.976249390e+02,-2.397593111e-03
7.978593140e+02,4.658601712e-03
7.980936890e+02,-3.201883286e-03
7.983280640e+02,1.074159634e-03
7.985624390e+02,1.620610990e-02
7.987968140e+02,-1.149588614e-03
7.990311890e+02,1.393977291e-04
7.992656250e+02,9.658572380e-04
